Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Ленинградское шоссе, 19. IN: Москва	Москва	Москва	Москва	Москва	1951	1	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1761	1	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1821	4	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1831	1	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1841	7	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1851	1	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1861	3	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1871	2	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1881	3	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1891	4	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1901	115	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1911	90	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1921	32	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1931	14	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1941	10	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1951	5	55.755833	37.617778
Москва	Москва	Москва	Москва	Москва	1961	8	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1821	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1831	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1841	6	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1851	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1871	1	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1881	25	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1891	2	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1901	85	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1911	67	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1921	33	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1931	15	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1941	15	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1951	8	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1961	3	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1971	9	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	1991	5	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	2_decades	3	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	3_decades	12	55.755833	37.617778
Москва (from date)	Москва	Москва	Москва	Москва	4_decades	10	55.755833	37.617778
Нащокинский переулок. IN: Москва	Москва	Москва	Москва	Москва	1931	1	55.755833	37.617778
Ордынка. IN: Москва	Москва	Москва	Москва	Москва	1951	4	55.755833	37.617778
Ордынка. IN: Москва	Москва	Москва	Москва	Москва	1961	3	55.755833	37.617778
Остоженка. IN: Москва	Москва	Москва	Москва	Москва	1951	1	55.755833	37.617778
Петровско-Разумовское. IN: Москва	Москва	Москва	Москва	Москва	1911	1	55.755833	37.617778
Сивцев Вражек. IN: Москва	Москва	Москва	Москва	Москва	1911	1	55.755833	37.617778
Узкое. IN: Москва	Москва	Москва	Москва	Москва	1921	2	55.755833	37.617778
Царицыно. IN: Москва	Москва	Москва	Москва	Москва	1861	1	55.755833	37.617778
Черемушки. IN: Москва	Москва	Москва	Москва	Москва	1921	1	55.755833	37.617778
Москва. Рига	Москва. Рига	Москва	Москва	Москва	1921	1	55.755833	37.617778
Лубянка. IN:Москва. Караганда	Москва. Караганда	Москва	Москва	Москва	2_decades	1	55.755833	37.617778
Бородино	Бородино	Бородино	Москва	Москва	1911	1	55.925117	37.661419
Серебряный колодезь	Серебряный колодезь	Серебряный колодезь	Орел	Южные области	1901	1	53.0519505	37.6953128
Серебряный Колодезь. IN: Новодеревеньковский район, Орловская область	Серебряный Колодезь	Серебряный Колодезь	Орел	Южные области	1901	38	53.0519634	37.6953128
Московская область	Московская область	Московская область	Москва	Москва	1911	1	55.628	37.738
Мураново. IN: Московская область	Мураново	Мураново	Москва	Москва	1921	2	56.178408	37.902768
Святые Горы. IN: Донецкая область	Святые Горы	Святые Горы	Украина, Донецк	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	49.0392564	37.5210662
Новороссийск	Новороссийск	Новороссийск	Краснодар	Черное море	1891	1	44.716667	37.766667
Болшево	Болшево	Болшево	Москва	Москва	1951	1	55.9333322	37.8412239
Бурково. IN: Королев, Московская область	Бурково	Бурково	Москва	Москва	1911	3	55.9287002	37.8844823
